English,Hindi,Hinglish,Id,Score
"Let not those grieve thee who rush headlong into Unbelief: Not the least harm will they do to Allah: Allah 's plan is that He will give them no portion in the Hereafter, but a severe punishment.
","और (ऐ रसूल) जो लोग कुफ़्र की (मदद) में पेश क़दमी कर जाते हैं उनकी वजह से तुम रन्ज न करो क्योंकि ये लोग ख़ुदा को कुछ ज़रर नहीं पहुँचा सकते (बल्कि) ख़ुदा तो ये चाहता है कि आख़ेरत में उनका हिस्सा न क़रार दे और उनके लिए बड़ा (सख्त) अज़ाब है
",[start] jo log [UNK] ki or [UNK] hain ve tumhen [UNK] n karen ve allah ko kam se kam [UNK] nahin [UNK] allah ki plan yah hai ki vah unhen [UNK] men koee god nahin dega lekin [UNK] [UNK] [UNK] [end],188,0.3636
"Now who will take rebukes on my behalf.
",", अब वहाँ मेरे स्थान पर कौन झिड़किए खायेगा?
",[start] ab meri or se kaun [UNK] [end],189,0.4816
"There were the usual speeches, garlanding and so on.
","उसमें, सामान्यतः जैसा होता है, मालाएं पहनाई गई और भाषण आदि हुए।
",[start] normal speech [UNK] [UNK] the [end],190,0
"In France, the news of one deed spreads like a flash and brings some pride to a disillusioned people.
","फ्रांस में इस एक कारनामे की खबर बिजली की तरह फैल जाती है और लोग भ्रम से मुक़्त होकर गर्व महसूस करते हैं.
",[start] [UNK] men ek kam ki [UNK] ek [UNK] ki tarah phail hai aur [UNK] karne vale logon ke lie kuchh [UNK] ka karan ko hai [end],191,0
"You will be more likely to give up before the 30 minutes elapse compared to you.
","आप लोगों के छोड़ने की सम्भावना, आप लोगों से ज्यादा है।
",[start] aapki tulna men [UNK] men [UNK] se pahle aapke har [UNK] ki snbhavna adhik hogi [end],192,0
"Toggle display of the status bar.
","स्थिति पट्टी का प्रदर्शन टॉगल करें.
",[start] [UNK] bar ka [UNK] [UNK] karen [end],193,0
"An Iranian government - sponsored radio station gleefully predicts that its brand of militant Islam within the United States will “provoke a dangerous and crucial confrontation” with the American authorities.
","ईरानी सरकार द्वारा प्रायोजित एक रेडियो स्टेशन ने अत्यंत प्रसन्नतापूर्वक भविष्यवाणी की कि उसके प्रकार का उग्रवादी इस्लाम अमेरिका में अमेरिकी अधिकारियों के साथ महत्वपूर्ण और खतरनाक संघर्ष को प्रोत्साहित कर देगा।
",[start] ek [UNK] [UNK] [UNK] [UNK] [UNK] se bhavishyvani karta hai ki [UNK] rajy public ke bhitar [UNK] [UNK] ka [UNK] [UNK] [UNK] ke sath khatarnak aur important speeches ko [UNK] [end],194,0
"The pumping system draws water from the open well, bore well, stream, pond, canal etc.
","पम्पिंग प्रणाली जल को खुले कुएं, बोरवेल, जल-धारा, तालाब, नहर आदि से खींचती है।
",[start] [UNK] system khule [UNK] [UNK] dhara [UNK] [UNK] aadi se water [UNK] hai [end],195,0
"(a) expenditure in connection with—
","(क) निम्नलिखित के संबंध में व्यय–
",[start] e ke snbndh men [UNK] [end],196,0
"Color to draw the Marcus Bains Line in the Time bar (empty for default).
","Marcus Bains Line को समय पट्टी में दिखाने के लिए रंग (तयशुदा रूप से खाली).
",[start] [UNK] bar men [UNK] [UNK] rekha [UNK] ke lie rng [UNK] ke lie [UNK] [end],197,0
"These dealt with matters arising during periods of the first and second Emergencies proclaimed in 1962 and 1971.
","इनका संबंध उन मामलों से था जो 1962 और 1971 में उदघोषित आपात उपबंध पहले और दूसरे आपातो के दौरान पैदा हुए।
",,198,0
"It was presented to the Legislative Council in 1856 and was passed in 1860.
","इसे 1856 में विधायी परिषद के समक्ष प्रस्तुत किया गया और1860 में पारित किया गया।
",,,
